,head_to_head_stats_id,main_athlete_id,main_athlete_name,opponent_athlete_id,opponent_athlete_name,tournament_id,tournament_name,tournament_date,round_name,result_for_main_id,main_id,winner
795,2314,96751,Deepshikha SINGH,89473,Hsin-Pei TSAI,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,R16,Loss,96751,2
796,2315,96751,Deepshikha SINGH,90287,Devika SIHAG,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,R32,Win,96751,2
797,2316,96751,Deepshikha SINGH,65337,Nanami SOMEYA,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,Qual. R16,Win,96751,2
798,222,92160,Tharun MANNEPALLI,63122,Brian YANG,5242,YONEX German Open 2025,2025-02-25,R16,Win,92160,2
799,221,92160,Tharun MANNEPALLI,61628,Toma Junior POPOV,5242,YONEX German Open 2025,2025-02-25,QF,Loss,92160,1
800,220,92160,Tharun MANNEPALLI,64081,Jhuo-Fu LIAO,5242,YONEX German Open 2025,2025-02-25,Qual. R16,Win,92160,2
801,2402,83984,Aditi BHATT,67828,Manami SUIZU,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,QF,Loss,83984,1
802,4663,92700,Diya Arun ARUN,69470,Worakorn CHITCHAROEN,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,Qual. R16,Loss,92700,1
803,4660,93462,Harshitaa ROUT,60132,Irushi HEWAGALLAGE,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,Qual. R32,Win,93462,1
804,4659,93462,Harshitaa ROUT,89473,Hsin-Pei TSAI,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,Qual. R16,Loss,93462,2
805,4654,64629,Anagha Aravinda PAI,67828,Manami SUIZU,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,Qual. R32,Loss,64629,2
806,4651,67864,Rituparna DAS,69091,Lauren LAM,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,Qual. R32,Loss,67864,1
807,128,69093,Priyanshu RAJAWAT,93627,Srikanth KIDAMBI,5242,YONEX German Open 2025,2025-02-25,R32,Win,69093,2
808,4599,72031,Ishu MALIK,50985,Vannee GOBI,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,Qual. R32,Loss,72031,2
809,2846,98472,Jiya RAWAT,57727,Shiori EBIHARA,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,Qual. R32,Win,98472,1
810,2845,98472,Jiya RAWAT,57833,Joanne NG,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,Qual. R16,Win,98472,1
811,2844,98472,Jiya RAWAT,89998,Isabelle RUSLI,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,R32,Win,98472,2
812,2841,98472,Jiya RAWAT,62301,LALINRAT CHAIWAN,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,R16,Loss,98472,1
813,4616,51651,Aparna BALAN,80653,Isyana Syahira MEIDA,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,R16,Loss,51651,2
814,4617,51651,Aparna BALAN,89473,Hsin-Pei TSAI,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,R32,Win,51651,2
815,2634,66778,Annanya PRAVIN,57833,Joanne NG,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,Qual. R32,Loss,66778,2
816,2695,88718,Surya Charisma TAMIRI,66368,Min Sun KIM,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,Qual. R32,Win,88718,1
817,2694,88718,Surya Charisma TAMIRI,85668,Pei Yu WANG,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,Qual. R16,Loss,88718,1
818,2671,86431,Ishita NEGI,80146,Tanishq MAMILLA PALLI,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,Qual. R16,Loss,86431,1
819,4664,92700,Diya Arun ARUN,95747,Janani ANANTHAKUMAR,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,Qual. R32,Win,92700,1
820,125,69093,Priyanshu RAJAWAT,61628,Toma Junior POPOV,5242,YONEX German Open 2025,2025-02-25,R16,Loss,69093,1
821,4570,61380,Radhika SHARMA,66735,Nabila Cahya Permata AYU,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,Qual. R32,Loss,61380,1
822,5196,73760,Amaan MOHAMMAD,92369,Lahiru WEERASINGHE,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,Qual. R32,Win,73760,1
823,2403,83984,Aditi BHATT,80795,Yi-Ting HUNG,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,R16,Win,83984,2
824,3141,93462,Harshitaa ROUT,35949,Yu Chen HAN,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,Qual. R32,Loss,93462,1
825,2404,83984,Aditi BHATT,86700,Ranithma LIYANAGE,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,R32,Win,83984,2
826,2405,83984,Aditi BHATT,53726,Navya KANDERI,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,Qual. R16,Win,83984,1
827,2406,83984,Aditi BHATT,95593,Sorano YOSHIKAWA,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,Qual. R32,Win,83984,2
828,208,93627,Srikanth KIDAMBI,69093,Priyanshu RAJAWAT,5242,YONEX German Open 2025,2025-02-25,R32,Loss,93627,2
829,5195,73760,Amaan MOHAMMAD,99781,Raymond INDRA,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,Qual. R16,Loss,73760,2
830,3038,76798,Sreshta Reddy KANNAREDDY,65337,Nanami SOMEYA,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,Qual. R32,Loss,76798,2
831,4670,57372,DHRUV KAPILA,87045,Rehan Naufal KUSHARJANTO,5242,YONEX German Open 2025,2025-02-25,SF,Loss,57372,1
832,2458,80146,Tanishq MAMILLA PALLI,75628,Ashmita CHALIHA,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,R32,Loss,80146,2
