,head_to_head_stats_id,main_athlete_id,main_athlete_name,opponent_athlete_id,opponent_athlete_name,tournament_id,tournament_name,tournament_date,round_name,result_for_main_id,main_id,winner
6638,1736,73173,V. Sindhu PUSARLA,84523,Michelle LI,1624,Kumpoo Macau Open Badminton Grand Prix Gold 2013,2013-11-26,Final,Win,73173,1
6640,1758,73173,V. Sindhu PUSARLA,96312,Akane YAMAGUCHI,2028,Yonex Open  Japan 2013,2013-09-17,R16,Loss,73173,2
6642,35,83950,H. S. PRANNOY,71616,Vikas Harsha P.,85,Yonex Sunrise India Open 2013,2013-04-23,Qual. R16,Win,83950,1
6644,35,83950,H. S. PRANNOY,71616,Vikas Harsha P.,1731,Shaheed Dr. K.L. Garg - Syed Modi International India GPG 2012,2012-12-18,R64,Win,83950,2
6650,37,83950,H. S. PRANNOY,14004,Niluka KARUNARATNE,56,Bahrain International Challenge 2012,2012-11-06,SF,Loss,83950,1
6651,31,83950,H. S. PRANNOY,99772,Ajay Kumar K.,56,Bahrain International Challenge 2012,2012-11-06,R32,Win,83950,1
6652,36,83950,H. S. PRANNOY,8601,Abhimanyu SINGH,56,Bahrain International Challenge 2012,2012-11-06,QF,Win,83950,1
6653,35,83950,H. S. PRANNOY,71616,Vikas Harsha P.,56,Bahrain International Challenge 2012,2012-11-06,R16,Win,83950,1
6659,1752,73173,V. Sindhu PUSARLA,96713,Nozomi OKUHARA,1682,Badminton Asia Youth Under 19 Championships 2012,2012-07-03,Final,Win,73173,1
6662,34,83950,H. S. PRANNOY,52166,Mohammadreza KHERADMANDI,1642,Iran Fajr International Challenge 2012,2012-02-16,R16,Loss,83950,2
6663,33,83950,H. S. PRANNOY,12296,Ali SHAHHOSSEINI,1642,Iran Fajr International Challenge 2012,2012-02-16,R64,Win,83950,1
6670,43,83950,H. S. PRANNOY,53737,Christopher FLORES,1642,Iran Fajr International Challenge 2012,2012-02-16,R32,Win,83950,1
6674,52,83950,H. S. PRANNOY,93627,Srikanth KIDAMBI,1790,TATA Open India International Challenge 2011,2011-12-14,R32,Win,83950,2
6675,38,83950,H. S. PRANNOY,25925,Sourabh VERMA,1773,Bahrain International Challenge 2011,2011-11-08,Final,Loss,83950,2
6676,42,83950,H. S. PRANNOY,42776,B. SAI PRANEETH,1773,Bahrain International Challenge 2011,2011-11-08,SF,Win,83950,2
6677,39,83950,H. S. PRANNOY,10565,Jan FROHLICH,1773,Bahrain International Challenge 2011,2011-11-08,R16,Win,83950,2
6678,40,83950,H. S. PRANNOY,58686,Heri SETIAWAN,1773,Bahrain International Challenge 2011,2011-11-08,QF,Win,83950,2
6679,41,83950,H. S. PRANNOY,12305,James VARGHESE,1773,Bahrain International Challenge 2011,2011-11-08,R32,Win,83950,1
6680,1744,73173,V. Sindhu PUSARLA,53153,Jing Yi TEE,226,VICTOR INDONESIA INTERNATIONAL CHALLENGE 2011,2011-07-19,SF,Win,73173,2
6681,1734,73173,V. Sindhu PUSARLA,75410,Thulasi P. C.,224,Maldives International Badminton Challenge 2011,2011-06-07,Final,Win,73173,2
6682,1735,73173,V. Sindhu PUSARLA,18228,Carolina MARIN,224,Maldives International Badminton Challenge 2011,2011-06-07,R16,Win,73173,1
6683,1750,73173,V. Sindhu PUSARLA,10033,Renu Chandrika de Silva HETTIARACHCHIGE,224,Maldives International Badminton Challenge 2011,2011-06-07,R32,Win,73173,2
6684,1749,73173,V. Sindhu PUSARLA,12028,Agnese ALLEGRINI,224,Maldives International Badminton Challenge 2011,2011-06-07,SF,Win,73173,1
6685,1748,73173,V. Sindhu PUSARLA,87885,Neslihan ARIN,224,Maldives International Badminton Challenge 2011,2011-06-07,QF,Win,73173,2
6686,1734,73173,V. Sindhu PUSARLA,75410,Thulasi P. C.,67,YONEX-SUNRISE  India Open ,2011-04-26,Qual. R16,Win,73173,2
6687,1757,73173,V. Sindhu PUSARLA,63437,Line Højmark KJAERSFELDT,1806,BWF BIMANTARA CUPS WORLD JUNIOR CHAMPIONSHIPS,2010-04-21,Qual. R128,Win,73173,2
6688,1735,73173,V. Sindhu PUSARLA,18228,Carolina MARIN,1806,BWF BIMANTARA CUPS WORLD JUNIOR CHAMPIONSHIPS,2010-04-21,5/6,Win,73173,2
6689,1743,73173,V. Sindhu PUSARLA,52089,Yu WAKITA,183,Iran Fajr International Challenge 2010,2010-02-03,SF,Win,73173,1
6690,32,83950,H. S. PRANNOY,54386,Shahram KARAMI,183,Iran Fajr International Challenge 2010,2010-02-03,R32,Loss,83950,2
6691,1739,73173,V. Sindhu PUSARLA,53296,Samira ZORRA,183,Iran Fajr International Challenge 2010,2010-02-03,R16,Win,73173,2
6692,1741,73173,V. Sindhu PUSARLA,30221,Rie ETOH,183,Iran Fajr International Challenge 2010,2010-02-03,Final,Loss,73173,1
6693,1742,73173,V. Sindhu PUSARLA,56262,Yosra BEIGI,183,Iran Fajr International Challenge 2010,2010-02-03,R32,Win,73173,2
6694,1740,73173,V. Sindhu PUSARLA,97634,Sahabeh FARD,183,Iran Fajr International Challenge 2010,2010-02-03,QF,Win,73173,1
6695,42,83950,H. S. PRANNOY,42776,B. SAI PRANEETH,133,JAYPEE CUP SYED MODI MEMORIAL INDIA GRAND PRIX  2009,2009-12-15,R64,Loss,83950,1
