team_1_athlete_1_id,team_1_athlete_1_name,team_1_athlete_1_profile_pic,team_1_athlete_1_nationality_name,team_1_athlete_1_national_flag_thumbnail,team_1_athlete_1_dob,team_1_athlete_1_age,team_1_athlete_1_height,team_1_current_rank,team_1_total_wins,team_1_total_points,team_1_career_wins,team_1_career_losses,team_1_current_year_wins,team_1_current_year_losses,team_2_athlete_1_id,team_2_athlete_1_name,team_2_athlete_1_profile_pic,team_2_athlete_1_nationality_name,team_2_athlete_1_national_flag_thumbnail,team_2_athlete_1_dob,team_2_athlete_1_age,team_2_athlete_1_height,team_2_current_rank,team_2_total_wins,team_2_total_points,team_2_career_wins,team_2_career_losses,team_2_current_year_wins,team_2_current_year_losses
68870,Lakshya SEN,https://img.bwfbadminton.com/image/upload/v1636508099/assets/players/thumbnail/68870.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,2001-08-16,23,179.0,22,3,160,206,112,4,8,70399,Julien CARRAGGI,https://img.bwfbadminton.com/image/upload/v1719989160/assets/players/thumbnail/70399.jpg,Belgium,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/BEL.png,2000-06-02,25.0,168.0,61.0,0,120,139,111,3,8
68870,Lakshya SEN,https://img.bwfbadminton.com/image/upload/v1636508099/assets/players/thumbnail/68870.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,2001-08-16,23,179.0,22,2,85,206,112,4,8,54897,Kevin CORDON,https://img.bwfbadminton.com/image/upload/v1719991167/assets/players/thumbnail/54897.jpg,Guatemala,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/GUA.png,1986-11-28,38.0,182.0,98.0,0,49,479,158,9,4
68870,Lakshya SEN,https://img.bwfbadminton.com/image/upload/v1636508099/assets/players/thumbnail/68870.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,2001-08-16,23,179.0,22,4,201,206,112,4,8,57823,Kanta TSUNEYAMA,https://img.bwfbadminton.com/image/upload/v1604895163/assets/players/thumbnail/57823.jpg,Japan,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/JPN.png,1996-06-21,29.0,173.0,,0,153,185,128,1,9
68870,Lakshya SEN,https://img.bwfbadminton.com/image/upload/v1636508099/assets/players/thumbnail/68870.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,2001-08-16,23,179.0,22,1,61,206,112,4,8,85845,Panitchaphon TEERARATSAKUL,https://img.bwfbadminton.com/image/upload/v1667175084/assets/players/thumbnail/85845.jpg,Thailand,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/THA.png,2004-11-11,20.0,,56.0,0,49,89,51,8,6
83950,PRANNOY H. S.,https://img.bwfbadminton.com/image/upload/v1657773756/assets/players/thumbnail/83950.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,1992-07-17,32,179.0,33,1,42,283,208,4,12,99772,Ajay Kumar K.,https://img.bwfbadminton.com/image/upload/assets/players/thumbnail/profile_male.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,1991-09-10,33.0,,,0,28,20,35,0,0
83950,PRANNOY H. S.,https://img.bwfbadminton.com/image/upload/v1657773756/assets/players/thumbnail/83950.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,1992-07-17,32,179.0,33,0,56,283,208,4,12,54386,Shahram KARAMI,https://img.bwfbadminton.com/image/upload/assets/players/thumbnail/profile_male.jpg,Iran,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IRI.png,,,,,1,63,8,8,0,0
83950,PRANNOY H. S.,https://img.bwfbadminton.com/image/upload/v1657773756/assets/players/thumbnail/83950.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,1992-07-17,32,179.0,33,1,61,283,208,4,12,12296,Ali SHAHHOSSEINI,https://img.bwfbadminton.com/image/upload/assets/players/thumbnail/profile_male.jpg,Iran,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IRI.png,1982-03-21,43.0,,,0,43,132,71,0,0
83950,PRANNOY H. S.,https://img.bwfbadminton.com/image/upload/v1657773756/assets/players/thumbnail/83950.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,1992-07-17,32,179.0,33,0,49,283,208,4,12,52166,Mohammadreza KHERADMANDI,https://img.bwfbadminton.com/image/upload/assets/players/thumbnail/profile_male.jpg,Iran,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IRI.png,1987-06-17,38.0,,,1,57,65,25,0,0
83950,PRANNOY H. S.,https://img.bwfbadminton.com/image/upload/v1657773756/assets/players/thumbnail/83950.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,1992-07-17,32,179.0,33,3,106,283,208,4,12,71616,Vikas Harsha P.,https://img.bwfbadminton.com/image/upload/assets/players/thumbnail/profile_male.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,1992-07-10,32.0,,,0,59,6,8,0,0
83950,PRANNOY H. S.,https://img.bwfbadminton.com/image/upload/assets/players/thumbnail/profile_male.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,1992-07-17,32,179.0,33,3,106,283,208,4,12,71616,Vikas Harsha P.,https://img.bwfbadminton.com/image/upload/v1657773756/assets/players/thumbnail/83950.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,1992-07-10,32.0,,,0,59,6,8,0,0
