athlete_id,main_athlete_name,tournament_id,tournament_name,year,tournament_date,round_name,notable_win,lost_to
83950,H. S. PRANNOY,5238,YONEX All England Open Badminton Championships 2025,2025,16 March,R32,,Toma Junior POPOV (17)
83950,H. S. PRANNOY,5251,Orleans Masters Badminton 2025 presented by VICTOR,2025,9 March,R16,Tzu Wei WANG (26),Chun-Yi LIN (14)
83950,H. S. PRANNOY,5192,TSINGTAO Badminton Asia Mixed Team Championship 2025,2025,16 February,QF,,Kenta NISHIMOTO (13)
83950,H. S. Prannoy,5268,YONEX-SUNRISE India Open 2025,2025,19 January,R32,,Li  Yang Su (38)
83950,H. S. Prannoy,5222,PETRONAS Malaysia Open 2025,2025,12 January,R16,,Shi Feng Li (4)
91807,Rakshitha Sree SANTHOSH RAMRAJ,5236,KAPAL API Indonesia Open 2025,2025,8 June,R32,,Supanida KATETHONG (9)
91807,Rakshitha Sree SANTHOSH RAMRAJ,5282,KFF Singapore Badminton Open 2025,2025,1 June,R32,,Ga Eun KIM (22)
91807,Rakshitha Sree SANTHOSH RAMRAJ,5225,TOYOTA Thailand Open 2025,2025,18 May,R32,,Jia Min YEO (11)
91807,Rakshitha Sree SANTHOSH RAMRAJ,5233,YONEX Taipei Open 2025,2025,11 May,R32,,Yu Jin SIM (15)
91807,Rakshitha Sree SANTHOSH RAMRAJ,5195,YONEX Swiss Open 2025,2025,23 March,R32,,Line CHRISTOPHERSEN (33)
91807,Rakshitha Sree Santhosh Ramraj,5242,YONEX German Open 2025,2025,2 March,QF,,Mia Blichfeldt (26)
91807,Rakshitha Sree SANTHOSH RAMRAJ,5221,PRINCESS SIRIVANNAVARI Thailand Masters 2025,2025,2 February,QF,,Thamonwan NITHIITTIKRAI (72)
91807,Rakshitha Sree Santhosh Ramraj,5234,DAIHATSU Indonesia Masters 2025,2025,26 January,R32,,Tomoka Miyazaki (7)
91807,Rakshitha Sree Santhosh Ramraj,5268,YONEX-SUNRISE India Open 2025,2025,19 January,R32,,Anupama Upadhyaya (42)
97168,Aalisha NAIK,5395,Austrian Open 2025,2025,25 May,SF,,Amalie SCHULZ (67)
97168,Aalisha NAIK,5368,I FEEL SLOVENIA LI-NING Open 2025,2025,18 May,QF,,Yu Si WANG
97168,Aalisha NAIK,5301,KAWASAKI Slovak Open 2025,2025,10 May,SF,,
97168,Aalisha NAIK,5379,YONEX Luxembourg Open 2025,2025,4 May,Qual. R16,,
99042,Tanvi SHARMA,5302,ST DENIS Reunion Open 2025,2025,18 May,QF,,Isharani BARUAH (79)
99042,Tanvi SHARMA,5429,STATE Denmark Challenge 2025 presented by RSL,2025,11 May,SF,Polina BUHROVA (44),
99042,Tanvi SHARMA,5295,CIPUTRA HANOI - YONEX SUNRISE Vietnam International Challenge 2025,2025,30 March,R16,Ting Yu LIANG (62),Mutiara Ayu PUSPITASARI (73)
99042,Tanvi Sharma,5305,Polish Open 2025,2025,23 March,SF,Juliana Viana Vieira (58),Yi-Ting Hung (60)
